😀	grinning face happy smile
😃	smiley happy joy
😄	laughing happy grin
😁	beaming grin happy
😆	laughing xd happy
😅	sweat smile relief nervous
🤣	rofl rolling floor laughing
😂	joy tears laughing crying happy
🙂	smile slight happy
🙃	upside down silly
😉	wink
😊	blush happy smile
😇	angel innocent halo
😍	heart eyes love crush
🥰	love hearts crush adore
😘	kiss love
😋	yum tasty tongue
😛	tongue playful
😜	wink tongue silly
🤪	zany crazy silly
😝	tongue closed eyes
🤑	money face rich
🤗	hug hugging
🤭	giggle oops hand mouth
🤫	shh quiet secret
🤔	thinking hmm
🤐	zipper mouth quiet secret
😐	neutral meh
😑	expressionless blank
😶	no mouth silent
😏	smirk sly
😒	unamused annoyed
🙄	eye roll annoyed
😬	grimace awkward
🤥	lying pinocchio
😌	relieved calm content
😔	pensive sad
😪	sleepy tired
🤤	drool sleepy
😴	sleeping zzz tired
😷	mask sick
🤒	thermometer sick fever
🤕	bandage hurt injured
🤢	nauseated sick gross
🤮	vomit sick throw up
🤧	sneeze sick
🥵	hot sweating heat
🥶	cold freezing
🥴	woozy dizzy drunk
😵	dizzy confused
🤯	mind blown shocked
🤠	cowboy hat
🥳	party celebrate happy
🥸	disguise glasses mustache
😎	sunglasses cool
🤓	nerd glasses
🧐	monocle curious
😕	confused unsure
😟	worried
🙁	frown sad
😮	open mouth surprised
😯	hushed surprised
😲	astonished shocked
😳	flushed embarrassed blush
🥺	pleading puppy eyes begging
😦	frowning open mouth
😧	anguished
😨	fearful scared
😰	anxious sweat worried
😥	sad relieved
😢	crying sad tear
😭	sobbing crying loud sad
😱	scream fear shocked
😖	confounded frustrated
😣	persevere struggling
😞	disappointed sad
😓	sweat downcast tired
😩	weary tired exhausted
😫	tired exhausted
🥱	yawn tired bored
😤	triumph huff angry proud
😡	angry rage mad
😠	angry mad
🤬	cursing swearing angry
😈	devil smiling evil
👿	devil angry evil
💀	skull dead
☠️	skull crossbones danger
💩	poop shit funny
🤡	clown
👹	ogre monster
👻	ghost spooky
👽	alien ufo
🤖	robot bot
😺	cat smile happy
😸	cat grin happy
😹	cat joy laughing
😻	cat heart eyes love
🙀	cat scream weary
😿	cat crying sad
😾	cat pouting angry
❤️	heart love red
🧡	orange heart love
💛	yellow heart love
💚	green heart love
💙	blue heart love
💜	purple heart love
🖤	black heart love
🤍	white heart love
🤎	brown heart love
💔	broken heart heartbreak
❣️	heart exclamation love
💕	two hearts love
💞	revolving hearts love
💓	beating heart love
💗	growing heart love
💖	sparkling heart love
💘	heart arrow cupid love
💝	heart gift love
💟	heart decoration love
😻	heart eyes cat love
👍	thumbs up like yes good
👎	thumbs down dislike no bad
👌	ok okay perfect
✌️	peace victory
🤞	fingers crossed luck
🤟	love you gesture
🤘	rock horns metal
🤙	call me shaka
👈	point left
👉	point right
👆	point up
👇	point down
☝️	point up finger
✋	hand stop raised
🤚	back hand raised
🖐️	hand fingers splayed
🖖	vulcan salute spock
👋	wave hello bye
🤝	handshake deal agree
🙏	pray please thanks
✍️	writing hand
💪	muscle strong flex
🦾	mechanical arm strong
👏	clap applause
🙌	raised hands celebrate
👐	open hands
🤲	palms up together
🤜	fist bump right
🤛	fist bump left
✊	fist power raised
👊	punch fist bump
🫡	salute respect
🧠	brain smart
👀	eyes looking
👁️	eye look
👅	tongue
👄	mouth lips
🔥	fire hot lit awesome
💯	hundred perfect score
✨	sparkles shiny new
⭐	star favorite
🌟	glowing star
💫	dizzy star
⚡	lightning bolt fast
💥	boom explosion collision
💢	anger symbol mad
💦	sweat drops water
💨	dash wind fast
🕳️	hole
💣	bomb explosive
💡	idea light bulb
🔔	bell notification
🔕	mute bell notification off
🎉	party popper celebrate
🎊	confetti ball celebrate
🎁	gift present
🎈	balloon party
🏆	trophy win award
🥇	gold medal first winner
🥈	silver medal second
🥉	bronze medal third
🎯	dart bullseye target goal
🚀	rocket launch fast
🛸	ufo flying saucer
🌙	moon crescent night
☀️	sun sunny day
⛅	sun cloud partly cloudy
🌈	rainbow
☁️	cloud
❄️	snowflake cold snow
☕	coffee drink
🍕	pizza food
🍔	burger food
🍟	fries food
🌮	taco food
🍦	ice cream food
🍩	donut food
🍪	cookie food
🍺	beer drink
🍻	cheers beer drink
🍷	wine drink
🥂	champagne toast cheers
🍾	champagne bottle celebrate
🎮	video game controller
🕹️	joystick game
🎧	headphones music
🎵	music note
🎶	music notes
📱	phone mobile
💻	laptop computer
⌨️	keyboard
🖥️	desktop computer
🖱️	mouse computer
🔋	battery
🔌	plug charger
📷	camera photo
🎥	video camera film
📺	tv television
⏰	alarm clock time
⌛	hourglass time waiting
⏳	hourglass time flowing
🔒	lock secure
🔓	unlock
🔑	key
🗝️	old key
🧩	puzzle piece
🎨	art paint palette
📌	pin location
📍	pin location marker
✅	check mark done yes
❌	cross mark no wrong
❓	question mark
❗	exclamation mark
⚠️	warning caution
🚫	no entry forbidden banned
♻️	recycle
🆗	ok button
🆕	new button
🔝	top button
🔴	red circle
🟠	orange circle
🟡	yellow circle
🟢	green circle
🔵	blue circle
🟣	purple circle
⚫	black circle
⚪	white circle
🏳️	white flag surrender
🏁	checkered flag finish
🐱	cat animal
🐶	dog animal
🦊	fox animal
🐻	bear animal
🐼	panda animal
🐸	frog animal
🦁	lion animal
🐯	tiger animal
🦄	unicorn magic
🐔	chicken bird
🐧	penguin bird
🦉	owl bird night
🐝	bee insect
🦋	butterfly insect
